Trade Flow,Reporter,Partner,Trade Value (US$)
1,Indonesia,Russian Federation,1325149935
2,Indonesia,Russian Federation,342311864
1,Indonesia,Saudi Arabia,4804976951
2,Indonesia,Saudi Arabia,1191949529
1,Indonesia,India,2905434511
2,Indonesia,India,7163336232
1,Indonesia,Spain,251745075
2,Indonesia,Spain,1665335009
1,Indonesia,United Arab Emirates,529814607
2,Indonesia,United Arab Emirates,1652087435
1,Indonesia,Turkey,1217604912
2,Indonesia,Turkey,871615366
1,Indonesia,United Kingdom,1067601901
2,Indonesia,United Kingdom,1546859376
1,Indonesia,USA,7897981066
2,Indonesia,USA,13079933994
